ID	Symbol	Description
LOCMI00188	LOCMI00188	eukaryotic translation initiation factor
LOCMI00190	LOCMI00190	PREDICTED: phenylalanyl-tRNA synthetase alpha chain-like
LOCMI00191	LOCMI00191	PREDICTED: LOW QUALITY PROTEIN: rab-like protein 3-like
LOCMI00197	LOCMI00197	C1C2Q6_9MAXI Fumarylacetoacetase
LOCMI00199	LOCMI00199	PREDICTED: homeobox protein SIX6-like
LOCMI00204	LOCMI00204	Ankyrin repeat domain-containing protein 40
LOCMI00207	LOCMI00207	Q16GN9_AEDAE DNA primase
LOCMI00208	LOCMI00208	Fatty acid-binding protein, muscle
LOCMI00209	LOCMI00209	PREDICTED: zinc finger protein 786-like
LOCMI00210	LOCMI00210	Katanin p80 WD40-containing subunit B1
LOCMI00212	LOCMI00212	phosphodiesterase 9A
LOCMI00215	LOCMI00215	Beta-glucuronidase
LOCMI00219	LOCMI00219	Q54EG0_DICDI Putative uncharacterized protein
LOCMI00220	LOCMI00220	Q7QCK4_ANOGA AGAP002669-PA (Fragment)
LOCMI00222	LOCMI00222	A8J9U3_CHLRE Subunit of the ESCRT-III complex
LOCMI00224	LOCMI00224	adenosine deaminase, putative
LOCMI00226	LOCMI00226	PREDICTED: 26S protease regulatory subunit 10B-like
LOCMI00227	LOCMI00227	PREDICTED: lysyl-tRNA synthetase-like
LOCMI00228	LOCMI00228	PREDICTED: pantothenate kinase 4-like
LOCMI00229	LOCMI00229	Nucleoporin Nup37
LOCMI00230	LOCMI00230	translocon-associated protein subunit delta precursor, putative
LOCMI00231	LOCMI00231	GK17173
LOCMI00237	LOCMI00237	6-pyruvoyl tetrahydrobiopterin synthase, putative
LOCMI00238	LOCMI00238	Mediator of RNA polymerase II transcription subunit 14
LOCMI00242	LOCMI00242	PREDICTED: alkylated DNA repair protein alkB homolog 8
LOCMI00244	LOCMI00244	innexin 4
LOCMI00246	LOCMI00246	PREDICTED: sepiapterin reductase-like
LOCMI00248	LOCMI00248	skeletrophin
LOCMI00251	LOCMI00251	Q16W35_AEDAE Thioredoxin, putative
LOCMI00252	LOCMI00252	C3YL74_BRAFL Putative uncharacterized protein (Fragment)
LOCMI00255	LOCMI00255	B0X6Q2_CULQU Synbindin
LOCMI00256	LOCMI00256	PREDICTED: vesicle transport protein GOT1B-like
LOCMI00258	LOCMI00258	Dynamin-like 120 kDa protein, mitochondrial
LOCMI00260	LOCMI00260	Ankyrin
LOCMI00267	LOCMI00267	PREDICTED: structural maintenance of chromosomes protein 4
LOCMI00269	LOCMI00269	translation initiation factor 4C
LOCMI00272	LOCMI00272	PREDICTED: inositol polyphosphate 1-phosphatase-like
LOCMI00273	LOCMI00273	PREDICTED: transcription initiation factor TFIID subunit 12-like
LOCMI00274	LOCMI00274	B4L296_DROMO GI14682
LOCMI00278	LOCMI00278	DNA replication factor C subunit Rfc4
LOCMI00281	LOCMI00281	protein arginine N-methyltransferase
LOCMI00282	LOCMI00282	PREDICTED: fizzy-related protein homolog
LOCMI00284	LOCMI00284	ubiquitin-conjugating enzyme E2
LOCMI00292	LOCMI00292	C3ZYC6_BRAFL Putative uncharacterized protein
LOCMI00293	LOCMI00293	dynactin subunit 6
LOCMI00295	LOCMI00295	E3 ubiquitin-protein ligase CBL, putative
LOCMI00296	LOCMI00296	mitochondrial ribosomal protein S7
LOCMI00298	LOCMI00298	PREDICTED: 26S proteasome non-ATPase regulatory subunit 10-like
LOCMI00300	LOCMI00300	Q9W3S4_DROME CG4617
LOCMI00301	LOCMI00301	PREDICTED: phosphate carrier protein, mitochondrial-like
LOCMI00303	LOCMI00303	UPF0439 protein C9orf30-like protein
LOCMI00304	LOCMI00304	succinate dehydrogenase
LOCMI00305	LOCMI00305	B7V630_PSEA8 Elongation factor Tu
LOCMI00306	LOCMI00306	BRI1-KD interacting protein, putative
LOCMI00308	LOCMI00308	heat shock transcription factor, putative
LOCMI00309	LOCMI00309	large neutral amino acids transporter, putative
LOCMI00310	LOCMI00310	Clathrin heavy chain
LOCMI00315	LOCMI00315	PREDICTED: lethal(2)neighbour of tid protein-like
LOCMI00316	LOCMI00316	GI14433
LOCMI00317	LOCMI00317	PREDICTED: similar to ATP-binding cassette, sub-family C, member 5, partial
LOCMI00318	LOCMI00318	peroxisomal multifunctional enzyme type 2 isoform 2
LOCMI00320	LOCMI00320	B4JH64_DROGR Nucleoside diphosphate kinase
LOCMI00324	LOCMI00324	B4NE95_DROWI GK25335
LOCMI00326	LOCMI00326	C8V1L4_EMENI Putative uncharacterized protein
LOCMI00327	LOCMI00327	ABC transporter B family member 25
LOCMI00331	LOCMI00331	Q4QWQ5_9ERIC Calmodulin
LOCMI00334	LOCMI00334	ankyrin repeat-containing protein, putative
LOCMI00335	LOCMI00335	predicted protein
LOCMI00337	LOCMI00337	heat shock protein 60
LOCMI00346	LOCMI00346	predicted protein
LOCMI00349	LOCMI00349	alpha-adaptin
LOCMI00350	LOCMI00350	PREDICTED: 5'-3' exoribonuclease 1-like isoform 2
LOCMI00352	LOCMI00352	Putative fat-like cadherin-related tumor suppressor-like protein
LOCMI00353	LOCMI00353	B4FGI9_MAIZE Putative uncharacterized protein
LOCMI00355	LOCMI00355	PREDICTED: ubiquitin carboxyl-terminal hydrolase isozyme L5-like
LOCMI00357	LOCMI00357	unnamed protein product
LOCMI00358	LOCMI00358	Helix-turn-helix, Psq IPR009057; Homeodomain-like
LOCMI00360	LOCMI00360	Cadherin-23 precursor, putative
LOCMI00361	LOCMI00361	A6YPI1_TRIIF Ferritin
LOCMI00363	LOCMI00363	40S ribosomal protein S16
LOCMI00367	LOCMI00367	B0WEU4_CULQU CRSP complex subunit 2
LOCMI00368	LOCMI00368	Zinc finger protein 596
LOCMI00369	LOCMI00369	serine/threonine-protein kinase MARK2, putative
LOCMI00370	LOCMI00370	PREDICTED: m-phase inducer phosphatase 3-like
LOCMI00371	LOCMI00371	Phosphatidylinositol glycan anchor biosynthesis class U protein
LOCMI00372	LOCMI00372	PREDICTED: porphobilinogen deaminase-like
LOCMI00373	LOCMI00373	B0XBC8_CULQU Putative uncharacterized protein
LOCMI00384	LOCMI00384	Q8RY41_ARATH At2g42650/F14N22.8
LOCMI00387	LOCMI00387	B7Q7M9_IXOSC Putative uncharacterized protein (Fragment)
LOCMI00388	LOCMI00388	proteasome component region PCI domain-containing protein
LOCMI00391	LOCMI00391	PREDICTED: signal sequence receptor, beta-like
LOCMI00394	LOCMI00394	ribosomal protein S3e
LOCMI00395	LOCMI00395	endothelin-converting enzyme, putative
LOCMI00396	LOCMI00396	Pprap1 protein
LOCMI00402	LOCMI00402	predicted protein
LOCMI00404	LOCMI00404	endoplasmin
LOCMI00406	LOCMI00406	C0M4X9_NILLU Inter-alpha-trypsin inhibitor heavy chain H4 (Fragment)
LOCMI00409	LOCMI00409	receptor for activated protein kinase C-like
LOCMI00411	LOCMI00411	RabGAP/TBC domain-containing protein
LOCMI00415	LOCMI00415	Ubiquitin-conjugating enzyme E2 S
LOCMI00416	LOCMI00416	GPI ethanolamine phosphate transferase, putative
LOCMI00420	LOCMI00420	leucine carboxyl methyltransferase
LOCMI00421	LOCMI00421	Sulfatase-modifying factor 1 precursor, putative
LOCMI00422	LOCMI00422	C4WV29_ACYPI ACYPI007678 protein
LOCMI00423	LOCMI00423	DnaJ domain-containing protein
LOCMI00425	LOCMI00425	RNA 3'-terminal phosphate cyclase family protein
LOCMI00426	LOCMI00426	uridine-cytidine kinase 1-like 1
LOCMI00428	LOCMI00428	A1AR05_PELPD 2,3-dimethylmalate lyase
LOCMI00429	LOCMI00429	C4WRZ6_ACYPI ACYPI009958 protein
LOCMI00431	LOCMI00431	PREDICTED: protein will die slowly-like
LOCMI00432	LOCMI00432	protein singed, putative
LOCMI00441	LOCMI00441	PREDICTED: tubulin delta chain-like
LOCMI00444	LOCMI00444	trafficking protein particle complex protein, putative
LOCMI00445	LOCMI00445	glutamate dehydrogenase
LOCMI00447	LOCMI00447	AGAP011218-PA
LOCMI00449	LOCMI00449	acid phosphatase isoenzyme
LOCMI00454	LOCMI00454	B7XFU6_BOMMO Clathrin
LOCMI00457	LOCMI00457	PREDICTED: probable multidrug resistance-associated protein lethal(2)03659-like
LOCMI00458	LOCMI00458	Sodium-dependent nutrient amino acid transporter 1
LOCMI00460	LOCMI00460	C3Y928_BRAFL Putative uncharacterized protein
LOCMI00461	LOCMI00461	GDP-mannose 4,6-dehydratase
LOCMI00463	LOCMI00463	B7Q3S7_IXOSC Putative uncharacterized protein
LOCMI00465	LOCMI00465	AGAP007029-PA
LOCMI00466	LOCMI00466	B6ZAY6_HELAM Proteasome subunit beta 1
LOCMI00467	LOCMI00467	PREDICTED: similar to AGAP009522-PA
LOCMI00468	LOCMI00468	dynein heavy chain, cytosolic, putative
LOCMI00470	LOCMI00470	(s)-2-hydroxy-acid oxidase
LOCMI00473	LOCMI00473	PREDICTED: probable ATP-dependent RNA helicase DDX11-like
LOCMI00474	LOCMI00474	Lactase-phlorizin hydrolase
LOCMI00476	LOCMI00476	PREDICTED: similar to ST7 protein
LOCMI00477	LOCMI00477	Phosphorylated CTD-interacting factor, putative
LOCMI00480	LOCMI00480	senecionine N-oxygenase, putative
LOCMI00481	LOCMI00481	kinesin-1
LOCMI00483	LOCMI00483	Q4RKS2_TETNG Chromosome 5 SCAF15026, whole genome shotgun sequence. (Fragment)
LOCMI00484	LOCMI00484	GF13188
LOCMI00485	LOCMI00485	PREDICTED: HIV Tat-specific factor 1 homolog
LOCMI00489	LOCMI00489	B4K945_DROMO GI23318
LOCMI00493	LOCMI00493	Cytosolic fatty-acid binding IPR011038; Calycin-like
LOCMI00494	LOCMI00494	Tubulin beta chain
LOCMI00495	LOCMI00495	WD40 repeat-containing protein
LOCMI00496	LOCMI00496	PREDICTED: probable nucleolar GTP-binding protein 1-like
LOCMI00502	LOCMI00502	40S ribosomal protein S21, putative
LOCMI00503	LOCMI00503	PREDICTED: gem-associated protein 7-like
LOCMI00505	LOCMI00505	PREDICTED: u3 small nucleolar ribonucleoprotein protein IMP4-like
LOCMI00507	LOCMI00507	DNA replication licensing factor Mcm2
LOCMI00508	LOCMI00508	Q2TLY5_TETNG Macoilin-2
LOCMI00510	LOCMI00510	PREDICTED: n-glycosylase/DNA lyase
LOCMI00511	LOCMI00511	B0WFI6_CULQU Putative uncharacterized protein
LOCMI00517	LOCMI00517	RecName: Full=DnaJ homolog subfamily A member 2; AltName: Full=RDJ2; Flags: Precursor gb|AAB64094.1| DnaJ homolog 2
LOCMI00519	LOCMI00519	Q179F0_AEDAE Sorting nexin
LOCMI00521	LOCMI00521	Unknown (protein for IMAGE:6633620)
LOCMI00522	LOCMI00522	PREDICTED: zinc finger protein 585A
LOCMI00523	LOCMI00523	putative nucleoside diphosphate kinase
LOCMI00525	LOCMI00525	POLR3K
LOCMI00529	LOCMI00529	eukaryotic initiation factor 4E putative
LOCMI00530	LOCMI00530	Glycoside hydrolase, family 1
LOCMI00531	LOCMI00531	RNA recognition motif domain
LOCMI00534	LOCMI00534	Q8T0W7_9NEOP Beta-glucosidase
LOCMI00537	LOCMI00537	B4MV92_DROWI GK15454
LOCMI00539	LOCMI00539	B3RZJ5_TRIAD Putative uncharacterized protein
LOCMI00540	LOCMI00540	Q17N05_AEDAE Putative uncharacterized protein
LOCMI00543	LOCMI00543	B3N6X5_DROER Ubiquitin-activating enzyme E1
LOCMI00545	LOCMI00545	chromobox protein, putative
LOCMI00554	LOCMI00554	eukaryotic translation initiation factor 5A-like protein
LOCMI00557	LOCMI00557	GH22923
LOCMI00561	LOCMI00561	PREDICTED: equilibrative nucleoside transporter 4-like
LOCMI00562	LOCMI00562	60S ribosomal protein l35a
LOCMI00566	LOCMI00566	WD-repeat protein, putative
LOCMI00569	LOCMI00569	Zinc finger RNA-binding protein
LOCMI00573	LOCMI00573	Q4P203_USTMA Proteasome subunit beta type
LOCMI00576	LOCMI00576	Q9BLH1_BOMMO Neutral endopeptidase 24.11
LOCMI00577	LOCMI00577	PREDICTED: queuine tRNA-ribosyltransferase subunit QTRTD1 homolog isoform 1
LOCMI00583	LOCMI00583	glutathione synthase
LOCMI00584	LOCMI00584	Heat shock protein DnaJ, N-terminal IPR015609; Molecular chaperone, heat shock protein, Hsp40, DnaJ
LOCMI00585	LOCMI00585	Q2F5V6_BOMMO Translocase of inner mitochondrial membrane 8 homolog b
LOCMI00586	LOCMI00586	Q2F5V6_BOMMO Translocase of inner mitochondrial membrane 8 homolog b
LOCMI00587	LOCMI00587	Q178E9_AEDAE ATP-binding cassette transporter
LOCMI00588	LOCMI00588	B3ES90_AMOA5 Putative uncharacterized protein
LOCMI00589	LOCMI00589	Translation initiation factor eIF-3b
LOCMI00593	LOCMI00593	Q08CW2_XENTR Dak protein (Fragment)
LOCMI00597	LOCMI00597	Ran-GTPase activating protein 1, C-terminal
LOCMI00600	LOCMI00600	Aspartyl-tRNA synthetase, cytoplasmic
LOCMI00601	LOCMI00601	PREDICTED: DNA-directed RNA polymerase III subunit RPC1-like
LOCMI00604	LOCMI00604	PREDICTED: jmjC domain-containing protein 4-like
LOCMI00607	LOCMI00607	Q17A97_AEDAE Putative uncharacterized protein
LOCMI00611	LOCMI00611	calreticulin
LOCMI00614	LOCMI00614	ALY
LOCMI00615	LOCMI00615	elongation factor 1A
LOCMI00620	LOCMI00620	Q2H0Z7_CHAGB Putative uncharacterized protein
LOCMI00621	LOCMI00621	HAM group protein
LOCMI00624	LOCMI00624	Cystathionine beta-synthase, core
LOCMI00625	LOCMI00625	PREDICTED: histone H2B.3-like
LOCMI00641	LOCMI00641	PREDICTED: monoamine oxidase B-like
LOCMI00642	LOCMI00642	C3YYE4_BRAFL Putative uncharacterized protein
LOCMI00645	LOCMI00645	PREDICTED: ankyrin repeat domain-containing protein 50-like
LOCMI00648	LOCMI00648	PREDICTED: cleavage and polyadenylation specificity factor subunit 4-like
LOCMI00649	LOCMI00649	B3MTY0_DROAN GF23035
LOCMI00650	LOCMI00650	B4KE17_DROMO GI22446
LOCMI00654	LOCMI00654	PREDICTED: 26S proteasome non-ATPase regulatory subunit 14-like
LOCMI00661	LOCMI00661	BESS motif
LOCMI00662	LOCMI00662	Q16FJ9_AEDAE Saccharopine dehydrogenase
LOCMI00665	LOCMI00665	O04423_ARATH Rac-like protein
LOCMI00666	LOCMI00666	PREDICTED: GC-rich sequence DNA-binding factor 1-like
LOCMI00669	LOCMI00669	putative profilin
LOCMI00672	LOCMI00672	trypsin
LOCMI00676	LOCMI00676	AGAP003704-PA
LOCMI00680	LOCMI00680	PREDICTED: 60S ribosomal protein L11-like
LOCMI00681	LOCMI00681	ras protein
LOCMI00683	LOCMI00683	cocoonase-like protein
LOCMI00685	LOCMI00685	trypsin
LOCMI00686	LOCMI00686	PREDICTED: probable multidrug resistance-associated protein lethal(2)03659-like
LOCMI00687	LOCMI00687	C5YXW0_SORBI Putative uncharacterized protein Sb09g020460
LOCMI00688	LOCMI00688	chaperonin
LOCMI00689	LOCMI00689	lupus la ribonucleoprotein, putative
LOCMI00691	LOCMI00691	Histone deacetylase complex subunit SAP18
LOCMI00692	LOCMI00692	prefoldin subunit, putative
LOCMI00694	LOCMI00694	Q4T3U1_TETNG Chromosome undetermined SCAF9926, whole genome shotgun sequence. (Fragment)
LOCMI00695	LOCMI00695	unknown
LOCMI00697	LOCMI00697	SH3 domain-containing protein
LOCMI00698	LOCMI00698	PREDICTED: myosin-X
LOCMI00700	LOCMI00700	C3YSZ9_BRAFL Putative uncharacterized protein
LOCMI00701	LOCMI00701	matrix metalloproteinase 1 isoform 1
LOCMI00702	LOCMI00702	Helix-turn-helix, Psq IPR009057; Homeodomain-like
LOCMI00703	LOCMI00703	26S proteasome ATPase 2 subunit
LOCMI00706	LOCMI00706	PREDICTED: u3 small nucleolar RNA-associated protein 15 homolog
LOCMI00713	LOCMI00713	C3Z702_BRAFL Putative uncharacterized protein
LOCMI00714	LOCMI00714	mKIAA0644 protein
LOCMI00716	LOCMI00716	Importin subunit alpha-4
LOCMI00720	LOCMI00720	TPA: putative 60S ribosomal protein L38 isoform 1
LOCMI00721	LOCMI00721	TPA: putative 60S ribosomal protein L38 isoform 1
LOCMI00722	LOCMI00722	sodium chloride cotransporter 69, isoform A
LOCMI00723	LOCMI00723	PREDICTED: u3 small nucleolar RNA-associated protein 15 homolog
LOCMI00728	LOCMI00728	putative 40S ribosomal protein S6
LOCMI00730	LOCMI00730	PREDICTED: nucleolar protein of 40 kDa-like
LOCMI00732	LOCMI00732	Nucleoside diphosphate kinase-like protein 5
LOCMI00734	LOCMI00734	eukaryotic translation initiation factor 1A
LOCMI00736	LOCMI00736	B0FWQ5_ARTSF Ribosomal protein L9e
LOCMI00737	LOCMI00737	B3RNR4_TRIAD Putative uncharacterized protein
LOCMI00742	LOCMI00742	PREDICTED: novel KRAB box and zinc finger, C2H2 type domain containing protein-like
LOCMI00743	LOCMI00743	PREDICTED: ELMO domain-containing protein 2-like
LOCMI00745	LOCMI00745	PREDICTED: neurochondrin homolog
LOCMI00750	LOCMI00750	ATP-binding cassette sub-family B member 7, mitochondrial
LOCMI00751	LOCMI00751	catalase
LOCMI00752	LOCMI00752	PREDICTED: ubiquitin conjugation factor E4 A-like
LOCMI00753	LOCMI00753	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
LOCMI00756	LOCMI00756	ATPase, class VI, type 11C, putative
LOCMI00759	LOCMI00759	nuclear protein
LOCMI00763	LOCMI00763	Zinc finger, AD-type
LOCMI00766	LOCMI00766	PREDICTED: serine proteinase stubble-like
LOCMI00767	LOCMI00767	GJ21781
LOCMI00770	LOCMI00770	PREDICTED: synaptic vesicle membrane protein VAT-1 homolog isoform 2
LOCMI00772	LOCMI00772	alkylglycerone phosphate synthase
LOCMI00773	LOCMI00773	TNF receptor-associated factor 4
LOCMI00774	LOCMI00774	Q5TT02_ANOGA AGAP004391-PA (Fragment)
LOCMI00777	LOCMI00777	Tubulin beta chain
LOCMI00784	LOCMI00784	Lipin-2
LOCMI00785	LOCMI00785	B2KI63_RHIFE Zinc finger protein 687 (Predicted)
LOCMI00787	LOCMI00787	Q32N30_XENLA Putative uncharacterized protein
LOCMI00788	LOCMI00788	Q7T0M9_XENLA Proteasome subunit beta type
LOCMI00790	LOCMI00790	Q7QHX1_ANOGA AGAP001038-PA (Fragment)
LOCMI00792	LOCMI00792	Microtubule-associated protein 2
LOCMI00793	LOCMI00793	Q7Q342_ANOGA AGAP011474-PA
LOCMI00796	LOCMI00796	beta-1,4-endoglucanase
LOCMI00804	LOCMI00804	PREDICTED: transmembrane protein 120 homolog
LOCMI00806	LOCMI00806	PREDICTED: fat-like cadherin-related tumor suppressor homolog
LOCMI00807	LOCMI00807	B0WF60_CULQU Mediator complex
LOCMI00811	LOCMI00811	A7U8C9_TRICA Chitin deacetylase 1
LOCMI00813	LOCMI00813	C0HA01_SALSA Pyridoxal phosphate phosphatase
LOCMI00814	LOCMI00814	Lipin-2
LOCMI00815	LOCMI00815	nth endonuclease III-like 1
LOCMI00816	LOCMI00816	nuclear pore complex protein nup154, putative
LOCMI00819	LOCMI00819	hexamerin-like protein 1
LOCMI00820	LOCMI00820	PREDICTED: embryonic pepsinogen-like
LOCMI00825	LOCMI00825	GC-rich sequence DNA-binding factor-like protein
LOCMI00826	LOCMI00826	tetracycline-efflux transporter, putative
LOCMI00827	LOCMI00827	B4K6L4_DROMO GI10456
LOCMI00832	LOCMI00832	A8KBF0_XENTR LOC100127651 protein
LOCMI00834	LOCMI00834	eupolytin
LOCMI00835	LOCMI00835	C3XY57_BRAFL Putative uncharacterized protein
LOCMI00836	LOCMI00836	PREDICTED: DNA repair protein complementing XP-C cells homolog
LOCMI00838	LOCMI00838	Q6WMV8_9MUSC Glucose dehydrogenase (Fragment)
LOCMI00842	LOCMI00842	putative regulator of ribosome biosynthesis
LOCMI00848	LOCMI00848	trehalose-6-phosphate hydrolase
LOCMI00849	LOCMI00849	C3ZSU5_BRAFL Putative uncharacterized protein
LOCMI00857	LOCMI00857	Sodium-coupled monocarboxylate transporter 2
LOCMI00858	LOCMI00858	C3ZHK7_BRAFL Putative uncharacterized protein (Fragment)
LOCMI00859	LOCMI00859	UDP-N-acetylglucosamine pyrophosphorylase
LOCMI00860	LOCMI00860	GH18429
LOCMI00863	LOCMI00863	Q7QFD2_ANOGA Transthyretin
LOCMI00865	LOCMI00865	Xanthine dehydrogenase/oxidase
LOCMI00866	LOCMI00866	Q4R849_MACFA Testis cDNA clone: QtsA-13455, similar to human ATPase, Class VI, type 11B (ATP11B),
LOCMI00872	LOCMI00872	PREDICTED: E3 ubiquitin-protein ligase RING2 isoform 1
LOCMI00873	LOCMI00873	PREDICTED: AFG3-like protein 2-like
LOCMI00874	LOCMI00874	B0W9L0_CULQU Sel1l protein
LOCMI00881	LOCMI00881	unknown
LOCMI00883	LOCMI00883	GI11466
LOCMI00885	LOCMI00885	condensin complex component SMC1
LOCMI00886	LOCMI00886	RAB-33, putative
LOCMI00888	LOCMI00888	PREDICTED: zinc finger protein with KRAB and SCAN domains 5-like
LOCMI00890	LOCMI00890	Q16TF0_AEDAE Putative uncharacterized protein
LOCMI00892	LOCMI00892	GI23257
LOCMI00893	LOCMI00893	Charged multivesicular body protein 3
LOCMI00894	LOCMI00894	proteasome subunit beta type 6
LOCMI00895	LOCMI00895	PREDICTED: LOW QUALITY PROTEIN: voltage-dependent T-type calcium channel subunit alpha-1G-like
LOCMI00897	LOCMI00897	PREDICTED: similar to regulator of g protein signaling
LOCMI00899	LOCMI00899	Sodium/potassium/calcium exchanger 5
LOCMI00905	LOCMI00905	translation initiation factor eIF-2B alpha subunit
LOCMI00906	LOCMI00906	Q55GC3_DICDI Putative uncharacterized protein
LOCMI00907	LOCMI00907	ribosomal protein L6
LOCMI00912	LOCMI00912	PREDICTED: ribonuclease H2 subunit B-like
LOCMI00914	LOCMI00914	C3NIT9_SULIN Ankyrin
LOCMI00915	LOCMI00915	signal peptidase complex subunit 1-like protein
LOCMI00917	LOCMI00917	GM19716
LOCMI00918	LOCMI00918	rRNA processing protein RRP7, putative
LOCMI00921	LOCMI00921	Q7QF12_ANOGA AGAP000252-PA (Fragment)
LOCMI00924	LOCMI00924	Probable 26S proteasome non-ATPase regulatory subunit 3
LOCMI00925	LOCMI00925	B3RVV2_TRIAD Lon protease homolog
LOCMI00930	LOCMI00930	DCN1-like protein 1
LOCMI00935	LOCMI00935	Something about silencing protein 10
LOCMI00937	LOCMI00937	GH23331
LOCMI00940	LOCMI00940	putative protein serine/threonine kinase
LOCMI00942	LOCMI00942	HEAT repeat-containing protein C7orf27
LOCMI00947	LOCMI00947	PREDICTED: WD repeat domain phosphoinositide-interacting protein 2-like isoform 1
LOCMI00949	LOCMI00949	predicted protein
LOCMI00951	LOCMI00951	Q4P8I1_USTMA Putative uncharacterized protein
LOCMI00952	LOCMI00952	PREDICTED: solute carrier family 25, member 27-like
LOCMI00953	LOCMI00953	myosin vii
