G3-VS-S3.down-DOMAIN_Ensembl-Gene-Rankings.txt	
G3-VS-S3.down-DOMAIN_Ensembl-Gene-Rankings.txt	GeneID	Symbol	Description	#GO-Terms Associated	Percent GO-Terms Associated	UID-str	GO Names
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI15907	LOCMI15907	Retinal dehydrogenase 1	2	0.2	LOCMI15907	Pyruvate metabolism:map00620 // Pentose and glucuronate interconversions:map00040
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI15896	LOCMI15896	E3WQ18_ANODA Putative uncharacterized protein	2	0.2	LOCMI15896	Pyruvate metabolism:map00620 // Pentose and glucuronate interconversions:map00040
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI15882	LOCMI15882	aldose reductase, putative	2	0.2	LOCMI15882	Pyruvate metabolism:map00620 // Pentose and glucuronate interconversions:map00040
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI15493	LOCMI15493	ER protein gp78	2	0.2	LOCMI15493	Protein processing in endoplasmic reticulum:map04141 // Protein export:map03060
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI15492	LOCMI15492	ER protein gp78	2	0.2	LOCMI15492	Protein processing in endoplasmic reticulum:map04141 // Protein export:map03060
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI10612	LOCMI10612	RecName: Full=Protein transport protein Sec61 subunit gamma gb|AAP47228.1| Sec61p gamma subunit	2	0.2	LOCMI10612	Protein processing in endoplasmic reticulum:map04141 // Protein export:map03060
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI03958	LOCMI03958	Q28WJ8_DROPS GA13505	2	0.2	LOCMI03958	Pentose and glucuronate interconversions:map00040 // Glycosaminoglycan degradation:map00531
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI17354	LOCMI17354	heat shock protein 90	1	0.1	LOCMI17354	Protein processing in endoplasmic reticulum:map04141
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI17330	LOCMI17330	Probable small nuclear ribonucleoprotein G	1	0.1	LOCMI17330	Spliceosome:map03040
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI17317	LOCMI17317	PREDICTED: U6 snRNA-associated Sm-like protein LSm7	1	0.1	LOCMI17317	Spliceosome:map03040
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI17308	LOCMI17308	Small nuclear ribonucleoprotein F	1	0.1	LOCMI17308	Spliceosome:map03040
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI17279	LOCMI17279	zinc finger protein matrin type, putative	1	0.1	LOCMI17279	Spliceosome:map03040
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI17261	LOCMI17261	Probable U2 small nuclear ribonucleoprotein A'	1	0.1	LOCMI17261	Spliceosome:map03040
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI17239	LOCMI17239	peptidyl-prolyl cis-trans isomerase	1	0.1	LOCMI17239	Spliceosome:map03040
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI17234	LOCMI17234	membrane-associated protein, putative	1	0.1	LOCMI17234	Spliceosome:map03040
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI17202	LOCMI17202	C4WXB0_ACYPI ACYPI009324 protein	1	0.1	LOCMI17202	Spliceosome:map03040
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI17197	LOCMI17197	PREDICTED: protein mago nashi	1	0.1	LOCMI17197	Spliceosome:map03040
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI17142	LOCMI17142	Small nuclear ribonucleoprotein F	1	0.1	LOCMI17142	Spliceosome:map03040
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI17129	LOCMI17129	PREDICTED: pre-mRNA-splicing factor syf2-like	1	0.1	LOCMI17129	Spliceosome:map03040
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI17126	LOCMI17126	B0X264_CULQU Lsm5 protein	1	0.1	LOCMI17126	Spliceosome:map03040
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI17116	LOCMI17116	PREDICTED: survival of motor neuron-related-splicing factor 30-like	1	0.1	LOCMI17116	Spliceosome:map03040
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI17113	LOCMI17113	Pre-mRNA-splicing factor SLU7	1	0.1	LOCMI17113	Spliceosome:map03040
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI17058	LOCMI17058	E9J1R9_SOLIN Putative uncharacterized protein (Fragment)	1	0.1	LOCMI17058	Spliceosome:map03040
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI17046	LOCMI17046	GJ23340	1	0.1	LOCMI17046	Pentose and glucuronate interconversions:map00040
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI17032	LOCMI17032	UDP-glucuronosyltransferase 1-8 precursor, putative	1	0.1	LOCMI17032	Pentose and glucuronate interconversions:map00040
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI16875	LOCMI16875	B6RHH4_LITVA Pyruvate kinase	1	0.1	LOCMI16875	Pyruvate metabolism:map00620
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI16810	LOCMI16810	PREDICTED: pre-mRNA-splicing factor SPF27-like	1	0.1	LOCMI16810	Spliceosome:map03040
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI16459	LOCMI16459	S-phase kinase-associated protein 1	1	0.1	LOCMI16459	Protein processing in endoplasmic reticulum:map04141
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI15918	LOCMI15918	Probable pyruvate dehydrogenase E1 component subunit alpha, mitochondrial	1	0.1	LOCMI15918	Pyruvate metabolism:map00620
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI15716	LOCMI15716	glutathione S-transferase sigma 1	1	0.1	LOCMI15716	Glutathione metabolism:map00480
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI15707	LOCMI15707	glutathione S-transferase sigma 1	1	0.1	LOCMI15707	Glutathione metabolism:map00480
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI15698	LOCMI15698	glutathione S-transferase sigma 3	1	0.1	LOCMI15698	Glutathione metabolism:map00480
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI15512	LOCMI15512	heat shock protein 20.7	1	0.1	LOCMI15512	Protein processing in endoplasmic reticulum:map04141
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI15491	LOCMI15491	endoplasmin	1	0.1	LOCMI15491	Protein processing in endoplasmic reticulum:map04141
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI15442	LOCMI15442	Polyglutamine-binding protein, putative	1	0.1	LOCMI15442	Spliceosome:map03040
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI15205	LOCMI15205	60S ribosomal protein L38	1	0.1	LOCMI15205	Ribosome:map03010
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI15125	LOCMI15125	B4M0F9_DROVI GJ22583	1	0.1	LOCMI15125	Proteasome:map03050
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI15070	LOCMI15070	putative aminopeptidase	1	0.1	LOCMI15070	Glutathione metabolism:map00480
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI14819	LOCMI14819	mitochondrial ribosomal protein, L23	1	0.1	LOCMI14819	Ribosome:map03010
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI14671	LOCMI14671	Q16KL0_AEDAE 26S protease regulatory subunit	1	0.1	LOCMI14671	Proteasome:map03050
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI14621	LOCMI14621	syntaxin-6, putative	1	0.1	LOCMI14621	SNARE interactions in vesicular transport:map04130
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI14553	LOCMI14553	thioredoxin/protein disulfide isomerase	1	0.1	LOCMI14553	Protein processing in endoplasmic reticulum:map04141
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI14159	LOCMI14159	PREDICTED: syntaxin-8-like isoform 1	1	0.1	LOCMI14159	SNARE interactions in vesicular transport:map04130
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI14132	LOCMI14132	AGAP011635-PA	1	0.1	LOCMI14132	Ribosome:map03010
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI13842	LOCMI13842	GL15397	1	0.1	LOCMI13842	Ribosome:map03010
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI13812	LOCMI13812	PREDICTED: l-xylulose reductase-like	1	0.1	LOCMI13812	Pentose and glucuronate interconversions:map00040
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI13695	LOCMI13695	proteasome 25 kDa subunit	1	0.1	LOCMI13695	Proteasome:map03050
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI13569	LOCMI13569	Q4LAY4_9COLE Ribosomal protein S28e	1	0.1	LOCMI13569	Ribosome:map03010
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI13545	LOCMI13545	60S ribosomal protein L8	1	0.1	LOCMI13545	Ribosome:map03010
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI13396	LOCMI13396	PREDICTED: lambda-crystallin homolog	1	0.1	LOCMI13396	Pentose and glucuronate interconversions:map00040
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI13370	LOCMI13370	PREDICTED: 40S ribosomal protein S7-like	1	0.1	LOCMI13370	Ribosome:map03010
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI13315	LOCMI13315	PREDICTED: 60S ribosomal protein L27-like isoform 1	1	0.1	LOCMI13315	Ribosome:map03010
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI11950	LOCMI11950	glucosidase 2 subunit beta precursor, putative	1	0.1	LOCMI11950	Protein processing in endoplasmic reticulum:map04141
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI11617	LOCMI11617	60S ribosomal protein L34	1	0.1	LOCMI11617	Ribosome:map03010
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI11190	LOCMI11190	mitochondrial ribosomal protein, S18C, putative	1	0.1	LOCMI11190	Ribosome:map03010
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI10636	LOCMI10636	N-acetylglucosamine-6-sulfatase precursor, putative	1	0.1	LOCMI10636	Glycosaminoglycan degradation:map00531
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI10621	LOCMI10621	ribosomal protein L31e	1	0.1	LOCMI10621	Ribosome:map03010
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI10304	LOCMI10304	polyubiquitin	1	0.1	LOCMI10304	Ribosome:map03010
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI10127	LOCMI10127	proteasome subunit beta 1	1	0.1	LOCMI10127	Proteasome:map03050
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI09731	LOCMI09731	S20e ribosomal protein	1	0.1	LOCMI09731	Ribosome:map03010
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI09637	LOCMI09637	Q56FD3_LYSTE Ribosomal protein L13a	1	0.1	LOCMI09637	Ribosome:map03010
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI09539	LOCMI09539	ribosomal protein S30	1	0.1	LOCMI09539	Ribosome:map03010
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI09478	LOCMI09478	L-xylulose reductase	1	0.1	LOCMI09478	Pentose and glucuronate interconversions:map00040
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI09283	LOCMI09283	beta-hexosaminidase beta chain precursor, putative	1	0.1	LOCMI09283	Glycosaminoglycan degradation:map00531
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI08995	LOCMI08995	glucose-6-phosphate 1-dehydrogenase	1	0.1	LOCMI08995	Glutathione metabolism:map00480
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI08865	LOCMI08865	PREDICTED: UDP-glucose 6-dehydrogenase-like	1	0.1	LOCMI08865	Pentose and glucuronate interconversions:map00040
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI08663	LOCMI08663	Q177N4_AEDAE Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase	1	0.1	LOCMI08663	Protein processing in endoplasmic reticulum:map04141
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI08559	LOCMI08559	GA15071	1	0.1	LOCMI08559	Ribosome:map03010
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI08265	LOCMI08265	SNW domain-containing protein 1	1	0.1	LOCMI08265	Spliceosome:map03040
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI08143	LOCMI08143	A7RV33_NEMVE Predicted protein	1	0.1	LOCMI08143	Glutathione metabolism:map00480
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI08029	LOCMI08029	60S ribosomal protein L38	1	0.1	LOCMI08029	Ribosome:map03010
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI07886	LOCMI07886	B0WL56_CULQU 39S ribosomal protein L14, mitochondrial	1	0.1	LOCMI07886	Ribosome:map03010
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI07468	LOCMI07468	B4KBP4_DROMO GI23169	1	0.1	LOCMI07468	Glutathione metabolism:map00480
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI07265	LOCMI07265	signal peptidase complex subunit SPC25	1	0.1	LOCMI07265	Protein export:map03060
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI07012	LOCMI07012	60S ribosomal protein L21	1	0.1	LOCMI07012	Ribosome:map03010
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI06804	LOCMI06804	ribosomal protein S12	1	0.1	LOCMI06804	Ribosome:map03010
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI06696	LOCMI06696	PREDICTED: tubulin-specific chaperone E-like	1	0.1	LOCMI06696	Pyruvate metabolism:map00620
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI05791	LOCMI05791	C3XQB1_BRAFL Putative uncharacterized protein	1	0.1	LOCMI05791	Pyruvate metabolism:map00620
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI05622	LOCMI05622	Q1HQU9_AEDAE Protein disulfide isomerase	1	0.1	LOCMI05622	Protein processing in endoplasmic reticulum:map04141
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI05600	LOCMI05600	B3MUH1_DROAN GF20662	1	0.1	LOCMI05600	Protein processing in endoplasmic reticulum:map04141
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI05551	LOCMI05551	AGAP004818-PA	1	0.1	LOCMI05551	Ribosome:map03010
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI05114	LOCMI05114	ribosomal protein L35	1	0.1	LOCMI05114	Ribosome:map03010
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI04618	LOCMI04618	B4MD84_DROVI GJ15381	1	0.1	LOCMI04618	Protein processing in endoplasmic reticulum:map04141
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI04416	LOCMI04416	Endoplasmic reticulum protein ERp29, putative	1	0.1	LOCMI04416	Protein processing in endoplasmic reticulum:map04141
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI04276	LOCMI04276	PREDICTED: similar to alpha-N-acetyl glucosaminidase	1	0.1	LOCMI04276	Glycosaminoglycan degradation:map00531
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI04203	LOCMI04203	BET1-like protein	1	0.1	LOCMI04203	SNARE interactions in vesicular transport:map04130
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI04119	LOCMI04119	glutamate--cysteine ligase regulatory subunit, putative	1	0.1	LOCMI04119	Glutathione metabolism:map00480
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI04087	LOCMI04087	endoplasmin	1	0.1	LOCMI04087	Protein processing in endoplasmic reticulum:map04141
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI04006	LOCMI04006	60S ribosomal protein L17, putative	1	0.1	LOCMI04006	Ribosome:map03010
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI03696	LOCMI03696	AGAP000508-PA	1	0.1	LOCMI03696	Ribosome:map03010
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI03019	LOCMI03019	proteasome beta-subunit	1	0.1	LOCMI03019	Proteasome:map03050
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI02745	LOCMI02745	Probable 26S proteasome non-ATPase regulatory subunit 3	1	0.1	LOCMI02745	Proteasome:map03050
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI01936	LOCMI01936	Ubiquitin-conjugating enzyme E2 J1	1	0.1	LOCMI01936	Protein processing in endoplasmic reticulum:map04141
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI01789	LOCMI01789	60S ribosomal protein L21	1	0.1	LOCMI01789	Ribosome:map03010
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI01645	LOCMI01645	PREDICTED: vesicle-associated membrane protein 1-like	1	0.1	LOCMI01645	SNARE interactions in vesicular transport:map04130
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI01611	LOCMI01611	A0T4G5_ANOGA AGAP003215-PA	1	0.1	LOCMI01611	Proteasome:map03050
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI01606	LOCMI01606	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1	1	0.1	LOCMI01606	Protein processing in endoplasmic reticulum:map04141
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI01517	LOCMI01517	Endoplasmic reticulum protein ERp29, putative	1	0.1	LOCMI01517	Protein processing in endoplasmic reticulum:map04141
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI01417	LOCMI01417	PREDICTED: similar to proteasome subunit beta type 5,8	1	0.1	LOCMI01417	Proteasome:map03050
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI01016	LOCMI01016	PREDICTED: synaptosomal-associated protein 29-like	1	0.1	LOCMI01016	SNARE interactions in vesicular transport:map04130
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI00924	LOCMI00924	Probable 26S proteasome non-ATPase regulatory subunit 3	1	0.1	LOCMI00924	Proteasome:map03050
Gadult-VS-Sadult.down-KEGG_Ensembl-Gene-Rankings.txt	LOCMI00130	LOCMI00130	PREDICTED: 60S ribosomal protein L38-like	1	0.1	LOCMI00130	Ribosome:map03010
G3-VS-S3.down-GO_Ensembl-Gene-Rankings.txt	
G3-VS-S3.down-GO_Ensembl-Gene-Rankings.txt	GeneID	Symbol	Description	#GO-Terms Associated	Percent GO-Terms Associated	UID-str	GO Names
G3-VS-S3.down-GO_Ensembl-Gene-Rankings.txt	LOCMI16024	LOCMI16024	GH10285	4	0.444444444444	LOCMI16024	cytoplasm // intracellular // oxidation-reduction process // oxidoreductase activity
G3-VS-S3.down-GO_Ensembl-Gene-Rankings.txt	LOCMI15980	LOCMI15980	ubiquinol-cytochrome c reductase complex	4	0.444444444444	LOCMI15980	cytoplasm // intracellular // oxidation-reduction process // oxidoreductase activity
G3-VS-S3.down-GO_Ensembl-Gene-Rankings.txt	LOCMI15895	LOCMI15895	cytochrome c oxidase subunit VIIA putative	4	0.444444444444	LOCMI15895	cytoplasm // electron carrier activity // intracellular // oxidoreductase activity
G3-VS-S3.down-GO_Ensembl-Gene-Rankings.txt	LOCMI15205	LOCMI15205	60S ribosomal protein L38	4	0.444444444444	LOCMI15205	cytoplasm // structural constituent of ribosome // intracellular // translation
G3-VS-S3.down-GO_Ensembl-Gene-Rankings.txt	LOCMI12178	LOCMI12178	PREDICTED: ADP-ribosylation factor-like 6 interacting protein	4	0.444444444444	LOCMI12178	cytoplasm // structural constituent of ribosome // intracellular // translation
G3-VS-S3.down-GO_Ensembl-Gene-Rankings.txt	LOCMI12177	LOCMI12177	40S ribosomal protein S15a	4	0.444444444444	LOCMI12177	cytoplasm // structural constituent of ribosome // intracellular // translation
G3-VS-S3.down-GO_Ensembl-Gene-Rankings.txt	LOCMI11744	LOCMI11744	RecName: Full=40S ribosomal protein S13 gb|AAK92182.1|AF400210_1 ribosomal protein S13	4	0.444444444444	LOCMI11744	cytoplasm // structural constituent of ribosome // intracellular // translation
G3-VS-S3.down-GO_Ensembl-Gene-Rankings.txt	LOCMI08036	LOCMI08036	PREDICTED: similar to ribosomal protein L37e	4	0.444444444444	LOCMI08036	cytoplasm // structural constituent of ribosome // intracellular // translation
G3-VS-S3.down-GO_Ensembl-Gene-Rankings.txt	LOCMI08029	LOCMI08029	60S ribosomal protein L38	4	0.444444444444	LOCMI08029	cytoplasm // structural constituent of ribosome // intracellular // translation
G3-VS-S3.down-GO_Ensembl-Gene-Rankings.txt	LOCMI05642	LOCMI05642	putative ribosomal protein S23e	4	0.444444444444	LOCMI05642	cytoplasm // structural constituent of ribosome // intracellular // translation
G3-VS-S3.down-GO_Ensembl-Gene-Rankings.txt	LOCMI04634	LOCMI04634	40S ribosomal protein S13	4	0.444444444444	LOCMI04634	cytoplasm // structural constituent of ribosome // intracellular // translation
G3-VS-S3.down-GO_Ensembl-Gene-Rankings.txt	LOCMI16195	LOCMI16195	RecName: Full=Cytochrome P450 4C1; AltName: Full=CYPIVC1 gb|AAA27819.1| cytochrome P450	3	0.333333333333	LOCMI16195	electron carrier activity // oxidation-reduction process // oxidoreductase activity
G3-VS-S3.down-GO_Ensembl-Gene-Rankings.txt	LOCMI15981	LOCMI15981	CG12859	3	0.333333333333	LOCMI15981	cytoplasm // intracellular // oxidoreductase activity
G3-VS-S3.down-GO_Ensembl-Gene-Rankings.txt	LOCMI09430	LOCMI09430	xanthine dehydrogenase/oxidase	3	0.333333333333	LOCMI09430	electron carrier activity // oxidation-reduction process // oxidoreductase activity
G3-VS-S3.down-GO_Ensembl-Gene-Rankings.txt	LOCMI07932	LOCMI07932	Q0E8V7_DROME CG34132	3	0.333333333333	LOCMI07932	cytoplasm // protein targeting // intracellular
G3-VS-S3.down-GO_Ensembl-Gene-Rankings.txt	LOCMI03203	LOCMI03203	PREDICTED: importin subunit alpha-2-like	3	0.333333333333	LOCMI03203	cytoplasm // protein targeting // intracellular
G3-VS-S3.down-GO_Ensembl-Gene-Rankings.txt	LOCMI00586	LOCMI00586	Q2F5V6_BOMMO Translocase of inner mitochondrial membrane 8 homolog b	3	0.333333333333	LOCMI00586	cytoplasm // protein targeting // intracellular
G3-VS-S3.down-GO_Ensembl-Gene-Rankings.txt	LOCMI00585	LOCMI00585	Q2F5V6_BOMMO Translocase of inner mitochondrial membrane 8 homolog b	3	0.333333333333	LOCMI00585	cytoplasm // protein targeting // intracellular
G3-VS-S3.down-GO_Ensembl-Gene-Rankings.txt	LOCMI16357	LOCMI16357	thioredoxin-like protein	2	0.222222222222	LOCMI16357	electron carrier activity // oxidoreductase activity
G3-VS-S3.down-GO_Ensembl-Gene-Rankings.txt	LOCMI16101	LOCMI16101	Q17M16_AEDAE Fatty acid synthase	2	0.222222222222	LOCMI16101	oxidation-reduction process // oxidoreductase activity
G3-VS-S3.down-GO_Ensembl-Gene-Rankings.txt	LOCMI15934	LOCMI15934	ATP-citrate synthase	2	0.222222222222	LOCMI15934	cytoplasm // intracellular
G3-VS-S3.down-GO_Ensembl-Gene-Rankings.txt	LOCMI15880	LOCMI15880	Q7QDK4_ANOGA AGAP003408-PA	2	0.222222222222	LOCMI15880	oxidation-reduction process // oxidoreductase activity
