GeneID	Symbol	Description	UID-str	parent GOID	GO Name
LOCMI02805	LOCMI02805	PREDICTED: retinoid-inducible serine carboxypeptidase-like	LOCMI02805	GO:0006508	proteolysis
LOCMI11841	LOCMI11841	PREDICTED: cationic trypsin-3-like	LOCMI11841	GO:0006508	proteolysis
LOCMI08721	LOCMI08721	MPA3 allergen	LOCMI08721	GO:0006508	proteolysis
LOCMI06649	LOCMI06649	CG32808	LOCMI06649	GO:0006508	proteolysis
LOCMI15075	LOCMI15075	MPA3 allergen	LOCMI15075	GO:0006508	proteolysis
LOCMI11837	LOCMI11837	serine-type enodpeptidase, putative	LOCMI11837	GO:0006508	proteolysis
LOCMI03280	LOCMI03280	GJ13115	LOCMI03280	GO:0006508	proteolysis
LOCMI12294	LOCMI12294	PREDICTED: trypsin-3	LOCMI12294	GO:0006508	proteolysis
LOCMI03279	LOCMI03279	Q5TPZ3_ANOGA AGAP011434-PA	LOCMI03279	GO:0006508	proteolysis
LOCMI15416	LOCMI15416	Low choriolytic enzyme precursor, putative	LOCMI15416	GO:0006508	proteolysis
LOCMI12292	LOCMI12292	trypsin	LOCMI12292	GO:0006508	proteolysis
LOCMI08807	LOCMI08807	carboxypeptidase	LOCMI08807	GO:0006508	proteolysis
LOCMI16004	LOCMI16004	PREDICTED: alcohol dehydrogenase	LOCMI16004	GO:0055114	oxidation-reduction process
LOCMI16257	LOCMI16257	D6WCM3_TRICA Putative uncharacterized protein	LOCMI16257	GO:0055114	oxidation-reduction process
LOCMI13554	LOCMI13554	PREDICTED: peroxisomal multifunctional enzyme type 2-like isoform 2	LOCMI13554	GO:0055114	oxidation-reduction process
LOCMI15801	LOCMI15801	E3WQ18_ANODA Putative uncharacterized protein	LOCMI15801	GO:0055114	oxidation-reduction process
LOCMI14530	LOCMI14530	zinc binding dehydrogenase, putative	LOCMI14530	GO:0055114	oxidation-reduction process
LOCMI16195	LOCMI16195	RecName: Full=Cytochrome P450 4C1; AltName: Full=CYPIVC1 gb|AAA27819.1| cytochrome P450	LOCMI16195	GO:0055114	oxidation-reduction process
LOCMI16136	LOCMI16136	Cytochrome P450 4g15	LOCMI16136	GO:0055114	oxidation-reduction process
LOCMI16184	LOCMI16184	cytochrome P450	LOCMI16184	GO:0055114	oxidation-reduction process
LOCMI16296	LOCMI16296	D2A5K3_TRICA Putative uncharacterized protein GLEAN_15554	LOCMI16296	GO:0055114	oxidation-reduction process
LOCMI15961	LOCMI15961	PREDICTED: peroxisomal acyl-coenzyme A oxidase 3-like isoform 3	LOCMI15961	GO:0055114	oxidation-reduction process
LOCMI09430	LOCMI09430	xanthine dehydrogenase/oxidase	LOCMI09430	GO:0055114	oxidation-reduction process
LOCMI14448	LOCMI14448	ferritin-like precursor	LOCMI14448	GO:0055114	oxidation-reduction process
LOCMI11009	LOCMI11009	Q6RUR3_GRYOR Putative alcohol dehydrogenase	LOCMI11009	GO:0055114	oxidation-reduction process
LOCMI08394	LOCMI08394	PREDICTED: 2-aminoethanethiol dioxygenase-like	LOCMI08394	GO:0055114	oxidation-reduction process
LOCMI15788	LOCMI15788	aldo-keto reductase	LOCMI15788	GO:0055114	oxidation-reduction process
LOCMI16004	LOCMI16004	PREDICTED: alcohol dehydrogenase	LOCMI16004	GO:0016491	oxidoreductase activity
LOCMI16257	LOCMI16257	D6WCM3_TRICA Putative uncharacterized protein	LOCMI16257	GO:0016491	oxidoreductase activity
LOCMI13554	LOCMI13554	PREDICTED: peroxisomal multifunctional enzyme type 2-like isoform 2	LOCMI13554	GO:0016491	oxidoreductase activity
LOCMI15801	LOCMI15801	E3WQ18_ANODA Putative uncharacterized protein	LOCMI15801	GO:0016491	oxidoreductase activity
LOCMI14530	LOCMI14530	zinc binding dehydrogenase, putative	LOCMI14530	GO:0016491	oxidoreductase activity
LOCMI16195	LOCMI16195	RecName: Full=Cytochrome P450 4C1; AltName: Full=CYPIVC1 gb|AAA27819.1| cytochrome P450	LOCMI16195	GO:0016491	oxidoreductase activity
LOCMI16136	LOCMI16136	Cytochrome P450 4g15	LOCMI16136	GO:0016491	oxidoreductase activity
LOCMI16184	LOCMI16184	cytochrome P450	LOCMI16184	GO:0016491	oxidoreductase activity
LOCMI15761	LOCMI15761	D6WRY0_TRICA Putative uncharacterized protein	LOCMI15761	GO:0016491	oxidoreductase activity
LOCMI15895	LOCMI15895	cytochrome c oxidase subunit VIIA putative	LOCMI15895	GO:0016491	oxidoreductase activity
LOCMI16296	LOCMI16296	D2A5K3_TRICA Putative uncharacterized protein GLEAN_15554	LOCMI16296	GO:0016491	oxidoreductase activity
LOCMI15961	LOCMI15961	PREDICTED: peroxisomal acyl-coenzyme A oxidase 3-like isoform 3	LOCMI15961	GO:0016491	oxidoreductase activity
LOCMI09430	LOCMI09430	xanthine dehydrogenase/oxidase	LOCMI09430	GO:0016491	oxidoreductase activity
LOCMI15760	LOCMI15760	D6WQQ4_TRICA Putative uncharacterized protein	LOCMI15760	GO:0016491	oxidoreductase activity
LOCMI14448	LOCMI14448	ferritin-like precursor	LOCMI14448	GO:0016491	oxidoreductase activity
LOCMI11009	LOCMI11009	Q6RUR3_GRYOR Putative alcohol dehydrogenase	LOCMI11009	GO:0016491	oxidoreductase activity
LOCMI08394	LOCMI08394	PREDICTED: 2-aminoethanethiol dioxygenase-like	LOCMI08394	GO:0016491	oxidoreductase activity
LOCMI15788	LOCMI15788	aldo-keto reductase	LOCMI15788	GO:0016491	oxidoreductase activity
