GeneID	Symbol	Description	UID-str	parent GOID	GO Name
LOCMI17354	LOCMI17354	heat shock protein 90	LOCMI17354	Protein processing in endoplasmic reticulum:map04141	Protein processing in endoplasmic reticulum:map04141
LOCMI04618	LOCMI04618	B4MD84_DROVI GJ15381	LOCMI04618	Protein processing in endoplasmic reticulum:map04141	Protein processing in endoplasmic reticulum:map04141
LOCMI01517	LOCMI01517	Endoplasmic reticulum protein ERp29, putative	LOCMI01517	Protein processing in endoplasmic reticulum:map04141	Protein processing in endoplasmic reticulum:map04141
LOCMI14553	LOCMI14553	thioredoxin/protein disulfide isomerase	LOCMI14553	Protein processing in endoplasmic reticulum:map04141	Protein processing in endoplasmic reticulum:map04141
LOCMI15493	LOCMI15493	ER protein gp78	LOCMI15493	Protein processing in endoplasmic reticulum:map04141	Protein processing in endoplasmic reticulum:map04141
LOCMI04087	LOCMI04087	endoplasmin	LOCMI04087	Protein processing in endoplasmic reticulum:map04141	Protein processing in endoplasmic reticulum:map04141
LOCMI15491	LOCMI15491	endoplasmin	LOCMI15491	Protein processing in endoplasmic reticulum:map04141	Protein processing in endoplasmic reticulum:map04141
LOCMI05600	LOCMI05600	B3MUH1_DROAN GF20662	LOCMI05600	Protein processing in endoplasmic reticulum:map04141	Protein processing in endoplasmic reticulum:map04141
LOCMI15492	LOCMI15492	ER protein gp78	LOCMI15492	Protein processing in endoplasmic reticulum:map04141	Protein processing in endoplasmic reticulum:map04141
LOCMI16459	LOCMI16459	S-phase kinase-associated protein 1	LOCMI16459	Protein processing in endoplasmic reticulum:map04141	Protein processing in endoplasmic reticulum:map04141
LOCMI01606	LOCMI01606	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1	LOCMI01606	Protein processing in endoplasmic reticulum:map04141	Protein processing in endoplasmic reticulum:map04141
LOCMI11950	LOCMI11950	glucosidase 2 subunit beta precursor, putative	LOCMI11950	Protein processing in endoplasmic reticulum:map04141	Protein processing in endoplasmic reticulum:map04141
LOCMI05622	LOCMI05622	Q1HQU9_AEDAE Protein disulfide isomerase	LOCMI05622	Protein processing in endoplasmic reticulum:map04141	Protein processing in endoplasmic reticulum:map04141
LOCMI15512	LOCMI15512	heat shock protein 20.7	LOCMI15512	Protein processing in endoplasmic reticulum:map04141	Protein processing in endoplasmic reticulum:map04141
LOCMI04416	LOCMI04416	Endoplasmic reticulum protein ERp29, putative	LOCMI04416	Protein processing in endoplasmic reticulum:map04141	Protein processing in endoplasmic reticulum:map04141
LOCMI15493	LOCMI15493	ER protein gp78	LOCMI15493	Protein export:map03060	Protein export:map03060
LOCMI15492	LOCMI15492	ER protein gp78	LOCMI15492	Protein export:map03060	Protein export:map03060
LOCMI10612	LOCMI10612	RecName: Full=Protein transport protein Sec61 subunit gamma gb|AAP47228.1| Sec61p gamma subunit	LOCMI10612	Protein export:map03060	Protein export:map03060
LOCMI07265	LOCMI07265	signal peptidase complex subunit SPC25	LOCMI07265	Protein export:map03060	Protein export:map03060
LOCMI17239	LOCMI17239	peptidyl-prolyl cis-trans isomerase	LOCMI17239	Spliceosome:map03040	Spliceosome:map03040
LOCMI17317	LOCMI17317	PREDICTED: U6 snRNA-associated Sm-like protein LSm7	LOCMI17317	Spliceosome:map03040	Spliceosome:map03040
LOCMI17197	LOCMI17197	PREDICTED: protein mago nashi	LOCMI17197	Spliceosome:map03040	Spliceosome:map03040
LOCMI17261	LOCMI17261	Probable U2 small nuclear ribonucleoprotein A'	LOCMI17261	Spliceosome:map03040	Spliceosome:map03040
LOCMI17058	LOCMI17058	E9J1R9_SOLIN Putative uncharacterized protein (Fragment)	LOCMI17058	Spliceosome:map03040	Spliceosome:map03040
LOCMI17279	LOCMI17279	zinc finger protein matrin type, putative	LOCMI17279	Spliceosome:map03040	Spliceosome:map03040
LOCMI17234	LOCMI17234	membrane-associated protein, putative	LOCMI17234	Spliceosome:map03040	Spliceosome:map03040
LOCMI17202	LOCMI17202	C4WXB0_ACYPI ACYPI009324 protein	LOCMI17202	Spliceosome:map03040	Spliceosome:map03040
LOCMI17308	LOCMI17308	Small nuclear ribonucleoprotein F	LOCMI17308	Spliceosome:map03040	Spliceosome:map03040
LOCMI15442	LOCMI15442	Polyglutamine-binding protein, putative	LOCMI15442	Spliceosome:map03040	Spliceosome:map03040
LOCMI17113	LOCMI17113	Pre-mRNA-splicing factor SLU7	LOCMI17113	Spliceosome:map03040	Spliceosome:map03040
LOCMI17129	LOCMI17129	PREDICTED: pre-mRNA-splicing factor syf2-like	LOCMI17129	Spliceosome:map03040	Spliceosome:map03040
LOCMI17116	LOCMI17116	PREDICTED: survival of motor neuron-related-splicing factor 30-like	LOCMI17116	Spliceosome:map03040	Spliceosome:map03040
LOCMI17330	LOCMI17330	Probable small nuclear ribonucleoprotein G	LOCMI17330	Spliceosome:map03040	Spliceosome:map03040
LOCMI17142	LOCMI17142	Small nuclear ribonucleoprotein F	LOCMI17142	Spliceosome:map03040	Spliceosome:map03040
LOCMI17126	LOCMI17126	B0X264_CULQU Lsm5 protein	LOCMI17126	Spliceosome:map03040	Spliceosome:map03040
LOCMI16810	LOCMI16810	PREDICTED: pre-mRNA-splicing factor SPF27-like	LOCMI16810	Spliceosome:map03040	Spliceosome:map03040
LOCMI08265	LOCMI08265	SNW domain-containing protein 1	LOCMI08265	Spliceosome:map03040	Spliceosome:map03040
LOCMI13569	LOCMI13569	Q4LAY4_9COLE Ribosomal protein S28e	LOCMI13569	Ribosome:map03010	Ribosome:map03010
LOCMI11617	LOCMI11617	60S ribosomal protein L34	LOCMI11617	Ribosome:map03010	Ribosome:map03010
LOCMI05114	LOCMI05114	ribosomal protein L35	LOCMI05114	Ribosome:map03010	Ribosome:map03010
LOCMI07886	LOCMI07886	B0WL56_CULQU 39S ribosomal protein L14, mitochondrial	LOCMI07886	Ribosome:map03010	Ribosome:map03010
LOCMI09539	LOCMI09539	ribosomal protein S30	LOCMI09539	Ribosome:map03010	Ribosome:map03010
LOCMI13842	LOCMI13842	GL15397	LOCMI13842	Ribosome:map03010	Ribosome:map03010
LOCMI13545	LOCMI13545	60S ribosomal protein L8	LOCMI13545	Ribosome:map03010	Ribosome:map03010
LOCMI07012	LOCMI07012	60S ribosomal protein L21	LOCMI07012	Ribosome:map03010	Ribosome:map03010
LOCMI08559	LOCMI08559	GA15071	LOCMI08559	Ribosome:map03010	Ribosome:map03010
LOCMI15205	LOCMI15205	60S ribosomal protein L38	LOCMI15205	Ribosome:map03010	Ribosome:map03010
LOCMI13370	LOCMI13370	PREDICTED: 40S ribosomal protein S7-like	LOCMI13370	Ribosome:map03010	Ribosome:map03010
LOCMI00130	LOCMI00130	PREDICTED: 60S ribosomal protein L38-like	LOCMI00130	Ribosome:map03010	Ribosome:map03010
LOCMI11190	LOCMI11190	mitochondrial ribosomal protein, S18C, putative	LOCMI11190	Ribosome:map03010	Ribosome:map03010
LOCMI10304	LOCMI10304	polyubiquitin	LOCMI10304	Ribosome:map03010	Ribosome:map03010
LOCMI06804	LOCMI06804	ribosomal protein S12	LOCMI06804	Ribosome:map03010	Ribosome:map03010
LOCMI13315	LOCMI13315	PREDICTED: 60S ribosomal protein L27-like isoform 1	LOCMI13315	Ribosome:map03010	Ribosome:map03010
LOCMI04006	LOCMI04006	60S ribosomal protein L17, putative	LOCMI04006	Ribosome:map03010	Ribosome:map03010
LOCMI05551	LOCMI05551	AGAP004818-PA	LOCMI05551	Ribosome:map03010	Ribosome:map03010
LOCMI09731	LOCMI09731	S20e ribosomal protein	LOCMI09731	Ribosome:map03010	Ribosome:map03010
LOCMI09637	LOCMI09637	Q56FD3_LYSTE Ribosomal protein L13a	LOCMI09637	Ribosome:map03010	Ribosome:map03010
LOCMI01789	LOCMI01789	60S ribosomal protein L21	LOCMI01789	Ribosome:map03010	Ribosome:map03010
LOCMI03696	LOCMI03696	AGAP000508-PA	LOCMI03696	Ribosome:map03010	Ribosome:map03010
LOCMI14132	LOCMI14132	AGAP011635-PA	LOCMI14132	Ribosome:map03010	Ribosome:map03010
LOCMI08029	LOCMI08029	60S ribosomal protein L38	LOCMI08029	Ribosome:map03010	Ribosome:map03010
LOCMI14819	LOCMI14819	mitochondrial ribosomal protein, L23	LOCMI14819	Ribosome:map03010	Ribosome:map03010
LOCMI10621	LOCMI10621	ribosomal protein L31e	LOCMI10621	Ribosome:map03010	Ribosome:map03010
LOCMI17046	LOCMI17046	GJ23340	LOCMI17046	Pentose and glucuronate interconversions:map00040	Pentose and glucuronate interconversions:map00040
LOCMI03958	LOCMI03958	Q28WJ8_DROPS GA13505	LOCMI03958	Pentose and glucuronate interconversions:map00040	Pentose and glucuronate interconversions:map00040
LOCMI15907	LOCMI15907	Retinal dehydrogenase 1	LOCMI15907	Pentose and glucuronate interconversions:map00040	Pentose and glucuronate interconversions:map00040
LOCMI13812	LOCMI13812	PREDICTED: l-xylulose reductase-like	LOCMI13812	Pentose and glucuronate interconversions:map00040	Pentose and glucuronate interconversions:map00040
LOCMI15896	LOCMI15896	E3WQ18_ANODA Putative uncharacterized protein	LOCMI15896	Pentose and glucuronate interconversions:map00040	Pentose and glucuronate interconversions:map00040
LOCMI15882	LOCMI15882	aldose reductase, putative	LOCMI15882	Pentose and glucuronate interconversions:map00040	Pentose and glucuronate interconversions:map00040
LOCMI13396	LOCMI13396	PREDICTED: lambda-crystallin homolog	LOCMI13396	Pentose and glucuronate interconversions:map00040	Pentose and glucuronate interconversions:map00040
LOCMI17032	LOCMI17032	UDP-glucuronosyltransferase 1-8 precursor, putative	LOCMI17032	Pentose and glucuronate interconversions:map00040	Pentose and glucuronate interconversions:map00040
LOCMI09478	LOCMI09478	L-xylulose reductase	LOCMI09478	Pentose and glucuronate interconversions:map00040	Pentose and glucuronate interconversions:map00040
LOCMI08865	LOCMI08865	PREDICTED: UDP-glucose 6-dehydrogenase-like	LOCMI08865	Pentose and glucuronate interconversions:map00040	Pentose and glucuronate interconversions:map00040
LOCMI09283	LOCMI09283	beta-hexosaminidase beta chain precursor, putative	LOCMI09283	Glycosaminoglycan degradation:map00531	Glycosaminoglycan degradation:map00531
LOCMI04276	LOCMI04276	PREDICTED: similar to alpha-N-acetyl glucosaminidase	LOCMI04276	Glycosaminoglycan degradation:map00531	Glycosaminoglycan degradation:map00531
LOCMI03958	LOCMI03958	Q28WJ8_DROPS GA13505	LOCMI03958	Glycosaminoglycan degradation:map00531	Glycosaminoglycan degradation:map00531
LOCMI10636	LOCMI10636	N-acetylglucosamine-6-sulfatase precursor, putative	LOCMI10636	Glycosaminoglycan degradation:map00531	Glycosaminoglycan degradation:map00531
LOCMI13695	LOCMI13695	proteasome 25 kDa subunit	LOCMI13695	Proteasome:map03050	Proteasome:map03050
LOCMI14671	LOCMI14671	Q16KL0_AEDAE 26S protease regulatory subunit	LOCMI14671	Proteasome:map03050	Proteasome:map03050
LOCMI00924	LOCMI00924	Probable 26S proteasome non-ATPase regulatory subunit 3	LOCMI00924	Proteasome:map03050	Proteasome:map03050
LOCMI02745	LOCMI02745	Probable 26S proteasome non-ATPase regulatory subunit 3	LOCMI02745	Proteasome:map03050	Proteasome:map03050
LOCMI03019	LOCMI03019	proteasome beta-subunit	LOCMI03019	Proteasome:map03050	Proteasome:map03050
LOCMI15125	LOCMI15125	B4M0F9_DROVI GJ22583	LOCMI15125	Proteasome:map03050	Proteasome:map03050
LOCMI01417	LOCMI01417	PREDICTED: similar to proteasome subunit beta type 5,8	LOCMI01417	Proteasome:map03050	Proteasome:map03050
LOCMI01611	LOCMI01611	A0T4G5_ANOGA AGAP003215-PA	LOCMI01611	Proteasome:map03050	Proteasome:map03050
LOCMI10127	LOCMI10127	proteasome subunit beta 1	LOCMI10127	Proteasome:map03050	Proteasome:map03050
