Ensembl	symbol	DOMAIN
LOCMI14216	LOCMI14216	Protease inhibitor I4, serpin:IPR000215
LOCMI14212	LOCMI14212	Protease inhibitor I4, serpin:IPR000215
LOCMI01756	LOCMI01756	Protease inhibitor I4, serpin:IPR000215
LOCMI16384	LOCMI16384	Protease inhibitor I4, serpin:IPR000215
LOCMI07377	LOCMI07377	Laminin B type IV:IPR000034
LOCMI08275	LOCMI08275	Zinc finger, CCCH-type:IPR000571
LOCMI10100	LOCMI10100	Zinc finger, ZZ-type:IPR000433
LOCMI12753	LOCMI12753	Zinc finger, ZZ-type:IPR000433
LOCMI16536	LOCMI16536	Activin type II receptor:IPR000333
LOCMI14467	LOCMI14467	Tetraspanin, subgroup:IPR000301
LOCMI17136	LOCMI17136	Alpha/beta hydrolase fold-1:IPR000073
LOCMI11811	LOCMI11811	Alpha/beta hydrolase fold-1:IPR000073
LOCMI11097	LOCMI11097	Alpha/beta hydrolase fold-1:IPR000073
LOCMI09866	LOCMI09866	RNA recognition motif domain:IPR000504
LOCMI05815	LOCMI05815	RNA recognition motif domain:IPR000504
LOCMI14537	LOCMI14537	RNA recognition motif domain:IPR000504
LOCMI16550	LOCMI16550	RNA recognition motif domain:IPR000504
LOCMI13879	LOCMI13879	RNA recognition motif domain:IPR000504
LOCMI11830	LOCMI11830	RNA recognition motif domain:IPR000504
LOCMI16631	LOCMI16631	RNA recognition motif domain:IPR000504
LOCMI16710	LOCMI16710	PAK-box/P21-Rho-binding:IPR000095
LOCMI17192	LOCMI17192	PAK-box/P21-Rho-binding:IPR000095
LOCMI14386	LOCMI14386	IQ motif, EF-hand binding site:IPR000048
LOCMI14387	LOCMI14387	IQ motif, EF-hand binding site:IPR000048
LOCMI10584	LOCMI10584	IQ motif, EF-hand binding site:IPR000048
LOCMI08577	LOCMI08577	Histone deacetylase superfamily:IPR000286
LOCMI04117	LOCMI04117	BTB/POZ-like:IPR000210
LOCMI03953	LOCMI03953	BTB/POZ-like:IPR000210
LOCMI04964	LOCMI04964	BTB/POZ-like:IPR000210
LOCMI16797	LOCMI16797	BTB/POZ-like:IPR000210
LOCMI10264	LOCMI10264	BTB/POZ-like:IPR000210
LOCMI05797	LOCMI05797	Dual specificity phosphatase, catalytic domain:IPR000340
LOCMI08908	LOCMI08908	Tubulin:IPR000217
LOCMI04650	LOCMI04650	Tubulin:IPR000217
LOCMI01885	LOCMI01885	Tubulin:IPR000217
LOCMI12121	LOCMI12121	Tubulin:IPR000217
LOCMI15746	LOCMI15746	Protein-tyrosine phosphatase, receptor/non-receptor type:IPR000242
LOCMI13628	LOCMI13628	Glucose-methanol-choline oxidoreductase, N-terminal:IPR000172
LOCMI03770	LOCMI03770	Glucose-methanol-choline oxidoreductase, N-terminal:IPR000172
LOCMI13304	LOCMI13304	Glucose-methanol-choline oxidoreductase, N-terminal:IPR000172
LOCMI03486	LOCMI03486	Glucose-methanol-choline oxidoreductase, N-terminal:IPR000172
LOCMI00075	LOCMI00075	Glucose-methanol-choline oxidoreductase, N-terminal:IPR000172
LOCMI02919	LOCMI02919	Glucose-methanol-choline oxidoreductase, N-terminal:IPR000172
LOCMI10084	LOCMI10084	Cysteine-rich flanking region, C-terminal domain:IPR000483
LOCMI11432	LOCMI11432	Cysteine-rich flanking region, C-terminal domain:IPR000483
LOCMI16426	LOCMI16426	Cysteine-rich flanking region, C-terminal domain:IPR000483
LOCMI14948	LOCMI14948	Cysteine-rich flanking region, C-terminal domain:IPR000483
LOCMI13988	LOCMI13988	Cysteine-rich flanking region, C-terminal domain:IPR000483
LOCMI16464	LOCMI16464	Cysteine-rich flanking region, C-terminal domain:IPR000483
