Ensembl	symbol	KEGG
LOCMI15924	LOCMI15924	Purine metabolism:map00230
LOCMI05985	LOCMI05985	Purine metabolism:map00230
LOCMI03478	LOCMI03478	Purine metabolism:map00230
LOCMI01328	LOCMI01328	Purine metabolism:map00230
LOCMI12746	LOCMI12746	Basal transcription factors:map03022
LOCMI05815	LOCMI05815	mRNA surveillance pathway:map03015
LOCMI16516	LOCMI16516	Hedgehog signaling pathway:map04340
LOCMI03766	LOCMI03766	Starch and sucrose metabolism:map00500
LOCMI17035	LOCMI17035	Starch and sucrose metabolism:map00500
LOCMI00063	LOCMI00063	Starch and sucrose metabolism:map00500
LOCMI08521	LOCMI08521	Starch and sucrose metabolism:map00500
LOCMI15488	LOCMI15488	Starch and sucrose metabolism:map00500
LOCMI16063	LOCMI16063	Pentose phosphate pathway:map00030
LOCMI07298	LOCMI07298	Pentose phosphate pathway:map00030
LOCMI15975	LOCMI15975	Pentose phosphate pathway:map00030
LOCMI15049	LOCMI15049	Pantothenate and CoA biosynthesis:map00770
LOCMI17035	LOCMI17035	Retinol metabolism:map00830
LOCMI08954	LOCMI08954	Retinol metabolism:map00830
LOCMI16274	LOCMI16274	Phenylalanine metabolism:map00360
LOCMI10574	LOCMI10574	Phenylalanine metabolism:map00360
LOCMI16276	LOCMI16276	Phenylalanine metabolism:map00360
LOCMI16267	LOCMI16267	Phenylalanine metabolism:map00360
LOCMI16268	LOCMI16268	Phenylalanine metabolism:map00360
LOCMI16397	LOCMI16397	Phenylalanine metabolism:map00360
LOCMI07298	LOCMI07298	Degradation of aromatic compounds:map01220
LOCMI04839	LOCMI04839	Fanconi anemia pathway:map03460
LOCMI15989	LOCMI15989	Glyoxylate and dicarboxylate metabolism:map00630
LOCMI08638	LOCMI08638	Glyoxylate and dicarboxylate metabolism:map00630
LOCMI03761	LOCMI03761	Caffeine metabolism:map00232
LOCMI09866	LOCMI09866	mTOR signaling pathway:map04150
LOCMI16388	LOCMI16388	mTOR signaling pathway:map04150
LOCMI15994	LOCMI15994	Pyruvate metabolism:map00620
LOCMI16061	LOCMI16061	Pyruvate metabolism:map00620
LOCMI15879	LOCMI15879	Pyruvate metabolism:map00620
LOCMI15924	LOCMI15924	Pyruvate metabolism:map00620
LOCMI09995	LOCMI09995	Pyruvate metabolism:map00620
LOCMI15947	LOCMI15947	Pyruvate metabolism:map00620
LOCMI11756	LOCMI11756	FoxO signaling pathway:map04068
LOCMI06714	LOCMI06714	FoxO signaling pathway:map04068
LOCMI08630	LOCMI08630	Nicotinate and nicotinamide metabolism:map00760
LOCMI15994	LOCMI15994	Biosynthesis of amino acids:map01230
LOCMI16063	LOCMI16063	Biosynthesis of amino acids:map01230
LOCMI08549	LOCMI08549	Biosynthesis of amino acids:map01230
LOCMI15989	LOCMI15989	Biosynthesis of amino acids:map01230
LOCMI08638	LOCMI08638	Biosynthesis of amino acids:map01230
LOCMI15924	LOCMI15924	Biosynthesis of amino acids:map01230
LOCMI15947	LOCMI15947	Biosynthesis of amino acids:map01230
LOCMI16397	LOCMI16397	Biosynthesis of amino acids:map01230
LOCMI16321	LOCMI16321	Phagosome:map04145
LOCMI10363	LOCMI10363	Phagosome:map04145
LOCMI01353	LOCMI01353	Phagosome:map04145
LOCMI12121	LOCMI12121	Phagosome:map04145
LOCMI04909	LOCMI04909	Phagosome:map04145
LOCMI03641	LOCMI03641	Phototransduction - fly:map04745
LOCMI17160	LOCMI17160	Phototransduction - fly:map04745
LOCMI16321	LOCMI16321	Phototransduction - fly:map04745
LOCMI01353	LOCMI01353	Phototransduction - fly:map04745
LOCMI14740	LOCMI14740	Phototransduction - fly:map04745
LOCMI14741	LOCMI14741	Phototransduction - fly:map04745
LOCMI04174	LOCMI04174	RNA degradation:map03018
LOCMI04889	LOCMI04889	RNA degradation:map03018
LOCMI00197	LOCMI00197	Tyrosine metabolism:map00350
LOCMI10574	LOCMI10574	Tyrosine metabolism:map00350
LOCMI13447	LOCMI13447	Ascorbate and aldarate metabolism:map00053
LOCMI13444	LOCMI13444	Ascorbate and aldarate metabolism:map00053
LOCMI13445	LOCMI13445	Ascorbate and aldarate metabolism:map00053
LOCMI17035	LOCMI17035	Ascorbate and aldarate metabolism:map00053
LOCMI07298	LOCMI07298	Ascorbate and aldarate metabolism:map00053
LOCMI13448	LOCMI13448	Ascorbate and aldarate metabolism:map00053
LOCMI13707	LOCMI13707	Arachidonic acid metabolism:map00590
LOCMI16260	LOCMI16260	Arachidonic acid metabolism:map00590
LOCMI10663	LOCMI10663	RNA polymerase:map03020
LOCMI05985	LOCMI05985	RNA polymerase:map03020
LOCMI01328	LOCMI01328	RNA polymerase:map03020
LOCMI16108	LOCMI16108	Notch signaling pathway:map04330
LOCMI15514	LOCMI15514	Arginine and proline metabolism:map00330
LOCMI08638	LOCMI08638	Arginine and proline metabolism:map00330
LOCMI09866	LOCMI09866	RNA transport:map03013
LOCMI12655	LOCMI12655	RNA transport:map03013
LOCMI16388	LOCMI16388	RNA transport:map03013
LOCMI08385	LOCMI08385	RNA transport:map03013
LOCMI10141	LOCMI10141	Proteasome:map03050
LOCMI02419	LOCMI02419	Proteasome:map03050
LOCMI11447	LOCMI11447	Proteasome:map03050
LOCMI11441	LOCMI11441	Proteasome:map03050
LOCMI15836	LOCMI15836	Glycerophospholipid metabolism:map00564
LOCMI13293	LOCMI13293	Glycerophospholipid metabolism:map00564
LOCMI09638	LOCMI09638	Wnt signaling pathway:map04310
LOCMI17160	LOCMI17160	Wnt signaling pathway:map04310
LOCMI13239	LOCMI13239	Wnt signaling pathway:map04310
LOCMI05987	LOCMI05987	Wnt signaling pathway:map04310
LOCMI16516	LOCMI16516	Wnt signaling pathway:map04310
